id,cltv
10601,110412.1009897972
47570,51015.300595071356
17247,50841.99027599598
71238,102324.16497301249
64438,130164.50949268343
1808,48042.9059396797
56514,47567.01718345155
43234,51167.33428710095
1319,130164.50949268343
64672,130164.50949268343
26706,129128.99523688096
80825,47567.01718345155
26212,51209.7740170014
13442,129128.99523688096
68756,131647.36900300646
50064,125683.44043231504
39287,126512.0589795886
33189,153460.1955877975
50483,51209.7740170014
66867,59464.73288329273
7320,51209.7740170014
73225,92099.58166531441
88089,127878.71531718574
33637,127574.54183200149
40992,131647.36900300646
42069,127574.54183200149
80275,131300.2533587715
43071,51209.7740170014
86194,110412.1009897972
34671,121915.0583547812
73318,110412.1009897972
64295,127574.54183200149
35236,110412.1009897972
29777,51015.300595071356
73484,127456.23818675918
33804,129128.99523688096
7863,129128.99523688096
85868,51015.300595071356
39946,129128.99523688096
41728,51015.300595071356
74055,48042.9059396797
30455,130164.50949268343
69959,121915.0583547812
69068,153460.1955877975
65474,102324.16497301249
15737,115719.7137627255
82873,102324.16497301249
41332,47567.01718345155
44760,110412.1009897972
23128,47567.01718345155
36804,153460.1955877975
6294,47567.01718345155
6317,51015.300595071356
20798,103402.8794148464
70658,153460.1955877975
86298,51209.7740170014
21613,149326.06440023697
71516,131647.36900300646
59912,122767.25661085066
78018,130164.50949268343
24388,131300.2533587715
40828,51034.531962435125
40805,103402.8794148464
34474,51209.7740170014
21839,92641.62194010173
25459,109860.69348568241
21065,121363.65085066641
67269,60426.99370612724
61931,121915.0583547812
83868,129128.99523688096
12761,51015.300595071356
67841,125683.44043231504
11996,51209.7740170014
74316,127917.27738824526
15466,92641.62194010173
43607,51209.7740170014
87476,61159.53768919678
54068,48042.9059396797
29058,121915.0583547812
57846,127574.54183200149
66880,48042.9059396797
61883,48042.9059396797
4640,110412.1009897972
68629,51209.7740170014
70216,153460.1955877975
30875,121915.0583547812
53305,110412.1009897972
43042,121915.0583547812
31670,110412.1009897972
84012,121915.0583547812
27648,51209.7740170014
7221,127574.54183200149
85836,110412.1009897972
85298,91562.9074982678
52771,129128.99523688096
58212,114415.07695574724
33982,152903.53338206225
27403,51209.7740170014
67270,47567.01718345155
35292,129128.99523688096
83051,102324.16497301249
55998,110412.1009897972
20331,47567.01718345155
2914,55635.288662290885
35577,153460.1955877975
61729,129128.99523688096
87510,127574.54183200149
40882,121915.0583547812
14330,51015.300595071356
78086,153460.1955877975
28076,121915.0583547812
34212,110412.1009897972
56286,124481.31007509507
42190,51209.7740170014
20902,51015.300595071356
36551,51015.300595071356
20295,149326.06440023697
62314,123618.2974830389
14043,51209.7740170014
58325,92641.62194010173
21143,102324.16497301249
80366,47567.01718345155
279,59288.37585373698
77722,95965.39100468121
5155,127574.54183200149
56297,149326.06440023697
66791,153460.1955877975
84653,153460.1955877975
72332,51209.7740170014
69840,116271.12126684029
74121,51209.7740170014
72447,110412.1009897972
25325,47567.01718345155
85696,47567.01718345155
74727,128503.44504248913
42251,110412.1009897972
70384,153460.1955877975
68298,127456.23818675918
47246,51015.300595071356
75015,51015.300595071356
22362,92641.62194010173
68723,110412.1009897972
44095,127917.27738824526
921,131300.2533587715
47713,127574.54183200149
24927,130164.50949268343
71440,153460.1955877975
36729,51623.52729729623
39628,110412.1009897972
56123,129128.99523688096
33855,51209.7740170014
29523,48042.9059396797
54701,114276.11201631252
55717,50974.792600661815
66981,102324.16497301249
35297,47567.01718345155
57386,51617.91623066364
30963,92641.62194010173
20218,51015.300595071356
79408,60094.350253449484
56143,51209.7740170014
7927,91562.9074982678
46907,121363.65085066641
86996,62591.55680882155
5810,51209.7740170014
26934,102324.16497301249
36224,102324.16497301249
54899,121915.0583547812
70988,103402.8794148464
83900,121915.0583547812
41650,124169.70498715369
10592,51015.300595071356
46991,51623.52729729623
4644,102324.16497301249
50321,127574.54183200149
76859,51209.7740170014
18904,129128.99523688096
80242,102324.16497301249
28439,121915.0583547812
80443,48823.120162370215
67878,91562.9074982678
56188,91562.9074982678
10759,92641.62194010173
68566,130164.50949268343
49846,102324.16497301249
6852,129128.99523688096
4163,129128.99523688096
79589,124169.70498715369
1739,51015.300595071356
53915,141057.87409191433
34010,124349.17657328316
13239,102324.16497301249
51097,131647.36900300646
79529,110412.1009897972
8783,47567.01718345155
16114,110412.1009897972
83496,51015.300595071356
25256,102324.16497301249
59297,129128.99523688096
22193,59236.78333465607
31268,110412.1009897972
18234,121915.0583547812
3862,103402.8794148464
7520,102324.16497301249
71435,121915.0583547812
26750,121363.65085066641
54372,48042.9059396797
19154,121363.65085066641
83924,129128.99523688096
47841,51209.7740170014
3956,50875.32762834994
10849,131647.36900300646
44741,102324.16497301249
21652,51015.300595071356
41103,110412.1009897972
5331,121363.65085066641
18846,121915.0583547812
5053,91562.9074982678
26110,51209.7740170014
56651,51209.7740170014
23492,50841.99027599598
71614,51209.7740170014
35602,110412.1009897972
53487,102324.16497301249
5448,51209.7740170014
1200,110412.1009897972
19922,109860.69348568241
68557,47567.01718345155
33057,121363.65085066641
73126,47567.01718345155
87935,91562.9074982678
12326,129128.99523688096
1414,127456.23818675918
12491,110412.1009897972
67929,129128.99523688096
65412,50682.7859419108
5159,51209.7740170014
30358,110412.1009897972
78713,121915.0583547812
24244,47567.01718345155
8816,129128.99523688096
12527,47567.01718345155
4250,110412.1009897972
82310,129128.99523688096
83420,121915.0583547812
13562,127574.54183200149
19042,91562.9074982678
31828,92641.62194010173
27233,153460.1955877975
44233,51034.531962435125
55725,110412.1009897972
65391,51209.7740170014
52460,48042.9059396797
65663,125804.26493935441
21094,121915.0583547812
30548,121915.0583547812
5147,109860.69348568241
7521,54104.8488769577
24267,153460.1955877975
62229,129128.99523688096
82014,48042.9059396797
79313,51209.7740170014
59930,102324.16497301249
34791,48042.9059396797
80090,121915.0583547812
2684,109860.69348568241
88117,121915.0583547812
67145,149326.06440023697
78557,110412.1009897972
41994,109860.69348568241
83550,91562.9074982678
2226,51015.300595071356
22686,110412.1009897972
47475,129128.99523688096
22214,110412.1009897972
32074,121363.65085066641
12239,48042.9059396797
65851,153460.1955877975
30607,149326.06440023697
83479,151908.82393278502
8915,50841.99027599598
31496,110412.1009897972
25577,92641.62194010173
60864,102324.16497301249
21648,92641.62194010173
84073,130164.50949268343
46464,51209.7740170014
74213,127974.85332556904
48347,51209.7740170014
85562,91562.9074982678
39506,127574.54183200149
71220,112356.89200156528
57132,125683.44043231504
8634,131300.2533587715
48047,60094.350253449484
25284,103402.8794148464
55161,47567.01718345155
79254,47567.01718345155
23987,149326.06440023697
11189,131346.8250627183
79165,48042.9059396797
81909,105059.77635139239
31847,129128.99523688096
40288,129128.99523688096
69859,129128.99523688096
6782,51209.7740170014
35105,47567.01718345155
52853,47567.01718345155
18046,153460.1955877975
81830,110412.1009897972
39548,91562.9074982678
2087,91562.9074982678
47981,102324.16497301249
17550,51209.7740170014
27682,51015.300595071356
87280,51209.7740170014
54237,92641.62194010173
67989,51209.7740170014
21213,129128.99523688096
9813,102324.16497301249
4080,58480.70157412325
34377,110412.1009897972
35676,59643.23140838995
5090,109860.69348568241
6661,51015.300595071356
619,109860.69348568241
20371,54695.281303609256
78198,103402.8794148464
19892,129128.99523688096
45229,51209.7740170014
19572,109860.69348568241
6692,91562.9074982678
52393,153460.1955877975
83731,51015.300595071356
13812,59288.37585373698
63922,153460.1955877975
18728,51209.7740170014
74325,110412.1009897972
50964,109860.69348568241
21398,50974.792600661815
48214,130164.50949268343
85258,103402.8794148464
2821,131647.36900300646
53378,51209.7740170014
20155,51209.7740170014
13360,51015.300595071356
46374,51015.300595071356
48166,121915.0583547812
3654,111412.73732241962
9147,153460.1955877975
5354,47567.01718345155
77611,121915.0583547812
8601,47567.01718345155
24063,51209.7740170014
55514,153460.1955877975
69957,48042.9059396797
12457,47567.01718345155
70683,121915.0583547812
25509,110412.1009897972
71476,110412.1009897972
83296,53351.26455666978
63348,153460.1955877975
69857,110412.1009897972
16991,125994.01936039326
39202,109860.69348568241
40045,91562.9074982678
62010,129128.99523688096
11410,128032.35728586954
63841,48042.9059396797
64599,110412.1009897972
15063,129128.99523688096
44705,59284.35170261847
30015,103402.8794148464
37962,48042.9059396797
10566,129128.99523688096
55617,121915.0583547812
7581,129128.99523688096
26555,127634.19223582631
69530,110412.1009897972
40854,91562.9074982678
30765,153460.1955877975
44301,51209.7740170014
71612,62385.236553585586
60020,51209.7740170014
68810,103402.8794148464
37996,51209.7740170014
42644,136388.768767023
34864,121915.0583547812
87109,130164.50949268343
62542,92641.62194010173
81638,51209.7740170014
22754,129128.99523688096
42591,47567.01718345155
15725,121363.65085066641
7282,51209.7740170014
82103,129128.99523688096
53482,51209.7740170014
79666,92641.62194010173
19879,58263.88424658725
41798,48042.9059396797
44317,129128.99523688096
77886,47567.01718345155
35135,121915.0583547812
36703,110412.1009897972
37553,51015.300595071356
34299,51209.7740170014
713,92641.62194010173
51781,51015.300595071356
61124,51015.300595071356
87749,121915.0583547812
81373,48042.9059396797
2531,47567.01718345155
29469,51015.300595071356
8828,131300.2533587715
88419,92641.62194010173
52184,51209.7740170014
40824,151908.82393278502
48072,91562.9074982678
14523,121363.65085066641
38011,47567.01718345155
75014,127574.54183200149
74572,129128.99523688096
49612,50841.99027599598
67367,102324.16497301249
79389,47567.01718345155
8639,51209.7740170014
32198,153460.1955877975
84336,51015.300595071356
34035,110412.1009897972
9599,110412.1009897972
10571,102324.16497301249
34710,91562.9074982678
8342,102324.16497301249
72069,47567.01718345155
15604,58501.318896020624
37974,141057.87409191433
12692,129128.99523688096
22652,91562.9074982678
37537,121363.65085066641
87797,121363.65085066641
38325,47567.01718345155
46860,110412.1009897972
59534,59284.35170261847
46056,51015.300595071356
12688,51209.7740170014
29327,51209.7740170014
34924,109860.69348568241
57087,116271.12126684029
64477,130164.50949268343
33629,131300.2533587715
85350,121915.0583547812
11747,121363.65085066641
53661,131300.2533587715
4423,153460.1955877975
5474,47567.01718345155
9282,127456.23818675918
19973,47567.01718345155
79561,110412.1009897972
80484,92641.62194010173
48135,153460.1955877975
11551,129128.99523688096
20800,51209.7740170014
27149,145880.50959567103
12251,110412.1009897972
23030,129128.99523688096
67522,112767.90818203396
74760,121363.65085066641
41007,129128.99523688096
31939,129128.99523688096
69178,121915.0583547812
14712,110412.1009897972
4362,103402.8794148464
60571,153460.1955877975
26638,103402.8794148464
75833,153460.1955877975
79405,121363.65085066641
4117,47567.01718345155
